id,name,category,subcategory,rarity,professions,region,short_summary,icon
30000,Frostbit Warrant,Document,Map Fragment,Uncommon,None,Glimmerdeep,"Glimmerdeep map fragment document: traded at night markets, often a quest turn-in.",document_frostbit_warrant.png
30001,Harbor-wet Scribble,Document,Field Notes,Uncommon,None,Glimmerdeep,"Glimmerdeep field notes document: rings softly when shaken, often a crafting reagent.",document_harbor_wet_scribble.png
30002,Worn Greaves of the Wharf,Gear,Dagger,Uncommon,Alchemy,Greatwood,"Greatwood dagger gear: sought by apprentices, often a trap component.",gear_worn_greaves_of_the_wharf.png
30003,Lanternlit Cloak of Brine,Gear,Mace,Common,Woodworking,Frostbriar,"Frostbriar mace gear: valued for its clean burn, often a alchemy base.",gear_lanternlit_cloak_of_brine.png
30004,Frostbit Spore,Ingredient,Insect,Uncommon,None,Greatwood,"Greatwood insect ingredient: valued for its clean burn, often a trap component.",ingredient_frostbit_spore.png
30005,Salt-stained Seed,Ingredient,Fruit,Common,Skinning,Greatwood,"Greatwood fruit ingredient: recommended by old timers, often a alchemy base.",ingredient_salt_stained_seed.png
30006,Kelp-woven Biscuit,Consumable,Bandage,Uncommon,Alchemy,Glimmerdeep,"Glimmerdeep bandage consumable: packed for storms, often a quest turn-in.",consumable_kelp_woven_biscuit.png
30007,Silt-grit Permit,Document,Ledger,Common,None,Glimmerdeep,"Glimmerdeep ledger document: packed for storms, often a quest turn-in.",document_silt_grit_permit.png
30008,Iron-banded Cowl of Moss,Gear,Sword,Common,Blacksmithing,Hollowroot,"Hollowroot sword gear: stains fingers dark, often a quest turn-in.",gear_iron_banded_cowl_of_moss.png
30009,Brine-cured Tonic,Consumable,Tonic,Uncommon,Blacksmithing,Greatwood,"Greatwood tonic consumable: packed for storms, often a alchemy base.",consumable_brine_cured_tonic.png
30010,Briarbound Ring of the Mire,Gear,Leather,Common,Enchanting,Saltmarrow,"Saltmarrow leather gear: recommended by old timers, often a buff ingredient.",gear_briarbound_ring_of_the_mire.png
30011,Cedar-scented Biscuit,Consumable,Potion,Common,Engineering,Emberford,"Emberford potion consumable: packed for storms, often a vendor staple.",consumable_cedar_scented_biscuit.png
30012,Brine-cured Bud,Ingredient,Mushroom,Rare,Fishing,Greatwood,"Greatwood mushroom ingredient: sought by apprentices, often a map clue.",ingredient_brine_cured_bud.png
30013,Soot-black Marker,Curio,Game Piece,Uncommon,None,Glimmerdeep,"Glimmerdeep game piece curio: valued for its clean burn, often a alchemy base.",curio_soot_black_marker.png
30014,Pine-sap Plank,Material,Resin,Uncommon,Skinning,Frostbriar,"Frostbriar resin material: kept for superstition, often a armor patching.",material_pine_sap_plank.png
