id,name,category,subcategory,rarity,professions,region,short_uses,file_name
74000,Briarbound Staff (I),Gear,Polearm,Uncommon,Enchanting,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,gear_briarbound_staff_i_74000.png
74001,Sun-bleached Vial (I),Gear,Sword,Uncommon,Woodworking,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,gear_sun_bleached_vial_i_74001.png
74002,Saltworn Helm,Map,Map,Common,Mining,Emberford_Marketwalk,Crafting component used across multiple recipes.,map_saltworn_helm_74002.png
74003,Stormbit Lantern,Ingredient,Herb,Uncommon,None,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_stormbit_lantern_74003.png
74004,Briarbound Vial,Gear,Cloth,Common,Cooking,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_briarbound_vial_74004.png
74005,Briarbound Amulet (II),Gear,Mace,Rare,Mining,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_briarbound_amulet_ii_74005.png
74006,Gravemark Staff,Quest,Quest Item,Uncommon,Woodworking,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,quest_gravemark_staff_74006.png
74007,Stormbit Helm,Gear,Leather,Uncommon,Woodworking,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_stormbit_helm_74007.png
74008,Saltworn Longbow,Material,Leatherworking,Rare,Tailoring,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,material_saltworn_longbow_74008.png
74009,Briarbound Gambeson (I),Ingredient,Hide,Common,Leatherworking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,ingredient_briarbound_gambeson_i_74009.png
74010,Dusk-hushed Tonic,Map,Map,Uncommon,Woodworking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,map_dusk_hushed_tonic_74010.png
74011,Glimmering Salve (II),Gear,Leather,Uncommon,Smithing,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,gear_glimmering_salve_ii_74011.png
74012,Dusk-hushed Ration,Consumable,Potion,Common,Leatherworking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,consumable_dusk_hushed_ration_74012.png
74013,Mire-slick Helm,Gear,Axe,Uncommon,Woodworking,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_mire_slick_helm_74013.png
74014,Glimmering Map,Consumable,Bandage,Rare,None,Saltmarrow_Strand,Utility item that supports exploration and downtime.,consumable_glimmering_map_74014.png
74015,Stormbit Cuirass,Gear,Cloth,Uncommon,Cooking,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_stormbit_cuirass_74015.png
74016,Marketfresh Charm,Gear,Plate,Common,Smithing,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_charm_74016.png
74017,Emberlit Tonic,Gear,Mail,Uncommon,None,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,gear_emberlit_tonic_74017.png
74018,Dusk-hushed Ration (IV),Gear,Plate,Uncommon,Herbalism,Glimmerdeep_Mire,Crafting component used across multiple recipes.,gear_dusk_hushed_ration_iv_74018.png
74019,Glimmering Vial,Material,Ingot,Uncommon,Woodworking,Frostbriar_Reach,Crafting component used across multiple recipes.,material_glimmering_vial_74019.png
74020,Frosted Ration,Consumable,Potion,Common,Woodworking,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,consumable_frosted_ration_74020.png
74021,Sun-bleached Tonic,Gear,Leather,Uncommon,Alchemy,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_sun_bleached_tonic_74021.png
74022,Dusk-hushed Gambeson (IV),Gear,Shield,Uncommon,Tailoring,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_dusk_hushed_gambeson_iv_74022.png
74023,Marketfresh Shortsword,Tool,Utility,Rare,None,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,tool_marketfresh_shortsword_74023.png
74024,Mire-slick Staff,Gear,Bow,Common,Herbalism,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,gear_mire_slick_staff_74024.png
74025,Stormbit Ring,Ingredient,Wood,Common,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,ingredient_stormbit_ring_74025.png
74026,Saltworn Gloves,Map,Map,Uncommon,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,map_saltworn_gloves_74026.png
74027,Marketfresh Gloves (I),Tool,Utility,Uncommon,None,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,tool_marketfresh_gloves_i_74027.png
74028,Gravemark Thread,Gear,Plate,Uncommon,Cooking,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_gravemark_thread_74028.png
74029,Briarbound Cloak,Profession Tool,Kit,Common,None,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,profession tool_briarbound_cloak_74029.png
74030,Emberlit Ration,Material,Leatherworking,Common,Leatherworking,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,material_emberlit_ration_74030.png
74031,Emberlit Thread,Consumable,Bandage,Rare,Tailoring,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,consumable_emberlit_thread_74031.png
74032,Ashen Longbow (IV),Quest,Quest Item,Common,Cooking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,quest_ashen_longbow_iv_74032.png
74033,Saltworn Boots,Ingredient,Wood,Uncommon,Cooking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,ingredient_saltworn_boots_74033.png
74034,Gravemark Map,Map,Map,Uncommon,Cooking,Saltmarrow_Strand,Crafting component used across multiple recipes.,map_gravemark_map_74034.png
74035,Frosted Gloves (I),Ingredient,Ore,Common,Woodworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,ingredient_frosted_gloves_i_74035.png
74036,Ashen Amulet,Profession Tool,Kit,Common,Smithing,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,profession tool_ashen_amulet_74036.png
74037,Glimmering Ration,Gear,Polearm,Uncommon,Mining,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_glimmering_ration_74037.png
74038,Emberlit Gambeson,Gear,Staff,Uncommon,Herbalism,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_emberlit_gambeson_74038.png
74039,Saltworn Ingot (III),Tool,Utility,Common,Leatherworking,Saltmarrow_Strand,Crafting component used across multiple recipes.,tool_saltworn_ingot_iii_74039.png
74040,Emberlit Cuirass,Gear,Mace,Rare,Woodworking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_emberlit_cuirass_74040.png
74041,Frosted Legwraps,Material,Ingot,Rare,Leatherworking,Frostbriar_Reach,Crafting component used across multiple recipes.,material_frosted_legwraps_74041.png
74042,Briarbound Boots,Material,Leatherworking,Uncommon,Woodworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_briarbound_boots_74042.png
74043,Briarbound Ring,Consumable,Bandage,Uncommon,Leatherworking,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,consumable_briarbound_ring_74043.png
74044,Marketfresh Staff,Consumable,Food,Common,Herbalism,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,consumable_marketfresh_staff_74044.png
74045,Mire-slick Tonic (I),Material,Ingot,Uncommon,Cooking,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,material_mire_slick_tonic_i_74045.png
74046,Mire-slick Thread,Gear,Plate,Rare,Enchanting,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_mire_slick_thread_74046.png
74047,Stormbit Staff,Gear,Dagger,Common,Smithing,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_stormbit_staff_74047.png
74048,Ashen Thread (I),Ingredient,Hide,Uncommon,Cooking,Frostbriar_Reach,Utility item that supports exploration and downtime.,ingredient_ashen_thread_i_74048.png
74049,Frosted Bandage,Material,Ingot,Common,Cooking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_frosted_bandage_74049.png
74050,Stormbit Ration,Ingredient,Ore,Common,Leatherworking,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_stormbit_ration_74050.png
74051,Briarbound Ration,Document,Scroll,Rare,Smithing,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,document_briarbound_ration_74051.png
74052,Sun-bleached Gloves,Quest,Quest Item,Rare,Tailoring,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,quest_sun_bleached_gloves_74052.png
74053,Gravemark Ring (I),Key,Key,Uncommon,Herbalism,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,key_gravemark_ring_i_74053.png
74054,Gravemark Ring,Gear,Polearm,Rare,None,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_gravemark_ring_74054.png
74055,Marketfresh Boots (I),Gear,Sword,Common,Woodworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_boots_i_74055.png
74056,Emberlit Helm (I),Consumable,Food,Uncommon,Alchemy,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,consumable_emberlit_helm_i_74056.png
74057,Glimmering Charm (IV),Gear,Polearm,Common,Cooking,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_glimmering_charm_iv_74057.png
74058,Sun-bleached Cloak,Ingredient,Herb,Common,Smithing,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,ingredient_sun_bleached_cloak_74058.png
