id,name,category,subcategory,rarity,professions,region,short_uses,file_name
40000,Mire-touched Ledger Page,Consumable,Food,Common,Alchemy,Glimmerdeep,Utility piece: gates a shortcut.,consumable_mire_touched_ledger_page.png
40001,Frostworn Nail,Curio,Mask,Common,Scribing,Emberford,Craft input: fills a gear gap.,curio_frostworn_nail.png
40002,Emberford Coat,Material,Wax,Uncommon,Tailoring,Greatwood,Craft input: feeds a rumor.,material_emberford_coat.png
40003,Emberford Plank,Material,Ore,Uncommon,Skinning,Ashen Fields,Vendor staple: supports leveling.,material_emberford_plank.png
40004,Ash-dusted Ore,Gear,Chest,Common,Tailoring,Ashen Fields,Quest hook: enables a recipe chain.,gear_ash_dusted_ore.png
40005,Gutterborn Nail,Curio,Signet,Uncommon,Jewelry,Hollowroot,Utility piece: fills a gear gap.,curio_gutterborn_nail.png
40006,Harbor-wet Pin,Curio,Totem,Common,Scribing,Emberford,Vendor staple: keeps you moving.,curio_harbor_wet_pin.png
40007,Greatwood Trophy Fang,Curio,Mask,Common,Jewelry,Ashen Fields,Craft input: enables a recipe chain.,curio_greatwood_trophy_fang.png
40008,Lantern-lit Coat,Ingredient,Grain,Common,Cooking,Emberford,Craft input: feeds a rumor.,ingredient_lantern_lit_coat.png
40009,Frostbriar Wanted Poster,Ingredient,Oil,Common,Alchemy,Frostbriar,Craft input: keeps you moving.,ingredient_frostbriar_wanted_poster.png
40010,Tide-taken Map Scrap,Curio,Figurine,Common,Jewelry,Ashen Fields,Craft input: gates a shortcut.,curio_tide_taken_map_scrap.png
40011,Cinder-scarred Ledger Page,Material,Resin,Common,Tailoring,Hollowroot,Utility piece: fills a gear gap.,material_cinder_scarred_ledger_page.png
40012,Mire-touched Helm,Material,Pigment,Common,Woodworking,Marketwalk,Field use: keeps you moving.,material_mire_touched_helm.png
40013,Glimmerdeep Plank,Curio,Charm,Common,Scribing,Glimmerdeep,Loot filler: feeds a rumor.,curio_glimmerdeep_plank.png
40014,Storm-bit Bandage Roll,Material,Resin,Common,Alchemy,Glimmerdeep,Utility piece: fills a gear gap.,material_storm_bit_bandage_roll.png
40015,Sun-bleached Vial,Consumable,Elixir,Common,Alchemy,Marketwalk,Field use: gates a shortcut.,consumable_sun_bleached_vial.png
40016,Amberwake Spool,Curio,Totem,Uncommon,Scribing,Hollowroot,Utility piece: fills a gear gap.,curio_amberwake_spool.png
40017,Storm-bit Wanted Poster,Material,Timber,Uncommon,Leatherworking,Frostbriar,Quest hook: enables a recipe chain.,material_storm_bit_wanted_poster.png
40018,Saltglass Biscuit,Material,Ingot,Uncommon,Leatherworking,Frostbriar,Craft input: fills a gear gap.,material_saltglass_biscuit.png
40019,Storm-bit Wanted Poster,Profession Tool,Field,Rare,Alchemy,Saltmarrow,Craft input: gates a shortcut.,profession_tool_storm_bit_wanted_poster.png
40020,Hollowroot Plank,Material,Wax,Common,Tailoring,Emberford,Quest hook: gates a shortcut.,material_hollowroot_plank.png
40021,Glimmerdeep Cloak,Consumable,Elixir,Common,Alchemy,Ashen Fields,Loot filler: fills a gear gap.,consumable_glimmerdeep_cloak.png
40022,Frostworn Boots,Material,Cloth,Common,Tailoring,Emberford,Quest hook: supports leveling.,material_frostworn_boots.png
40023,Silt-grit Lichen,Gear,Axe,Common,Smithing,Glimmerdeep,Quest hook: supports leveling.,gear_silt_grit_lichen.png
40024,Saltmarrow Gloves,Ingredient,Meat,Common,Alchemy,Marketwalk,Craft input: feeds a rumor.,ingredient_saltmarrow_gloves.png
40025,Sun-bleached Ore,Curio,Charm,Common,Enchanting,Greatwood,Loot filler: feeds a rumor.,curio_sun_bleached_ore.png
40026,Greatwood Spool,Curio,Mask,Uncommon,Scribing,Frostbriar,Loot filler: gates a shortcut.,curio_greatwood_spool.png
40027,Storm-bit Hilt,Ingredient,Root,Common,Alchemy,Saltmarrow,Loot filler: supports leveling.,ingredient_storm_bit_hilt.png
40028,Storm-bit Spool,Ingredient,Mushroom,Common,Cooking,Frostbriar,Utility piece: fills a gear gap.,ingredient_storm_bit_spool.png
40029,Iron-banded Guard,Curio,Mask,Common,Enchanting,Emberford,Loot filler: keeps you moving.,curio_iron_banded_guard.png
40030,River-smooth Canteen,Gear,Sword,Rare,Smithing,Marketwalk,Vendor staple: feeds a rumor.,gear_river_smooth_canteen.png
40031,Saltglass Ration,Consumable,Elixir,Common,Alchemy,Frostbriar,Quest hook: gates a shortcut.,consumable_saltglass_ration.png
40032,Iron-banded Helm,Material,Stone,Common,Smithing,Saltmarrow,Field use: fills a gear gap.,material_iron_banded_helm.png
40033,Glimmerdeep Biscuit,Gear,Bow,Uncommon,Tailoring,Greatwood,Field use: fills a gear gap.,gear_glimmerdeep_biscuit.png
40034,Sun-bleached Sash,Ingredient,Salt,Common,Cooking,Ashen Fields,Vendor staple: supports leveling.,ingredient_sun_bleached_sash.png
40035,Mire-touched Sash,Consumable,Tonic,Common,Cooking,Hollowroot,Loot filler: enables a recipe chain.,consumable_mire_touched_sash.png
