50500,Emberford Scoria-Draw Harpoon,Gear,Harpoon,Legendary,Fishing;Smithing,Emberford,Stacks bleed after interrupts and boosts movement in lava slicks for Scoria Draw finale.,gear_emberford_scoria_draw_harpoon.png
50501,Saltmarrow Tidewrit Seal,Trinket,Seal,Legendary,Scribing;Navigation,Saltmarrow,Grants water-walking after opening chests and increases dock faction reputation.,trinket_saltmarrow_tidewrit_seal.png
50502,Frostbriar Rimebound Relay,Trinket,Necklace,Legendary,Navigation;Cartography,Frostbriar,Neck relay that reduces slows and pings allies about incoming frost hazards.,trinket_frostbriar_rimebound_relay.png
50503,Glimmerdeep Chasm-Singer Chimes,Trinket,Charm,Legendary,Arcanism;Hunting,Glimmerdeep,Water stealth while stationary and better glowspore drops for the Chasm Singer finale.,trinket_glimmerdeep_chasm_singer_chimes.png
50504,Greatwood Grovekeeper's Crown,Gear,Helm,Legendary,Smithing;Herbalism,Greatwood,Blocks add stacking nature shields and +5% rare herb yield during Crown of Rivers chain.,gear_greatwood_grovekeepers_crown.png
50505,Hollowroot Mycelial Matriarch's Mantle,Gear,Cloak,Legendary,Tailoring;Herbalism,Hollowroot,Poison-resist cloak that turns overheal into healing spore bursts for Matriarch's Oath.,gear_hollowroot_mycelial_mantle.png
50506,Thornlash Bastion Banner,Gear,Banner,Legendary,Tailoring;Scribing,Thornlash,Planted banner pulses fortify aura and boosts wall faction reputation options.,gear_thornlash_bastion_banner.png
50507,Ashen Cry Emberfall Circlet,Trinket,Circlet,Legendary,Arcanism;Jewelry,Ashen Cry,Halves fire damage while channeling and heals when extinguishing hazards in Emberfall chapter.,trinket_ashen_cry_emberfall_circlet.png
50508,Shatterglass Oathmirror,Trinket,Off-hand,Legendary,Arcanism;Scribing,Shatterglass,Reflects spell damage and reveals invisible foes after blocking for the Oathmirror quest.,trinket_shatterglass_oathmirror.png
50509,Burn Scar Clinkerbreaker Cudgel,Gear,Mace,Legendary,Smithing;Mining,Burn Scar,Stacks sunder on armored foes and grants fire absorb while stationary for Clinkerbreaker route.,gear_burn_scar_clinkerbreaker_cudgel.png
50510,Silent Bell Nightwarden Codex,Trinket,Tome,Legendary,Scribing;Arcanism,Emberford,Shadow-resistant codex that reveals smuggling caches while stealthed for Nightwarden finale.,trinket_silent_bell_nightwarden_codex.png
50511,Windbreak Skyline Javelin,Gear,Javelin,Legendary,Hunting;Navigation,Windbreak,Extra crits on airborne foes and grants group sprint after kills during Skyline Run.,gear_windbreak_skyline_javelin.png
